player_name,team_name,primary_position,position_group,minutes,xg_per90,shots_per90,key_passes_per90,passes_per90,pass_completion_pct,dribbles_per90,recoveries_per90,def_actions_per90,xg_per90_pct,shots_per90_pct,key_passes_per90_pct,passes_per90_pct,pass_completion_pct_pct,dribbles_per90_pct,recoveries_per90_pct,def_actions_per90_pct
Pablo Martín Páez Gavira,Spain,Right Center Midfield,MID,293.0,0.017,0.307,0.613,46.933,88.2,2.147,4.601,6.748,26.0,14.6,47.9,51.0,76.0,86.5,57.3,44.8
Pedro González López,Spain,Left Center Midfield,MID,375.0,0.0,0.0,1.2,102.267,92.7,2.401,6.962,4.801,3.6,3.6,82.3,100.0,96.4,89.6,94.8,15.6
Pierre-Emile Højbjerg,Denmark,Right Center Midfield,MID,291.0,0.007,0.619,0.309,69.326,89.3,0.619,5.88,8.356,14.6,40.6,24.0,89.6,81.8,32.3,83.3,71.9
Piotr Zieliński,Poland,Right Center Midfield,MID,344.0,0.153,0.784,1.829,39.983,81.0,1.045,3.92,4.965,86.5,54.2,93.8,34.4,40.6,56.2,34.4,17.7
Przemysław Frankowski,Poland,Left Midfield,MID,254.0,0.015,0.354,0.354,25.815,69.9,0.354,3.89,7.073,24.5,22.9,30.2,8.3,9.4,17.7,33.3,50.0
Remo Freuler,Switzerland,Right Defensive Midfield,MID,346.0,0.142,0.78,0.0,38.757,84.6,1.04,4.422,7.283,84.4,53.1,8.3,28.1,59.9,55.2,51.0,57.3
Rodrigo Bentancur Colmán,Uruguay,Center Defensive Midfield,MID,232.0,0.241,1.165,0.777,61.372,84.8,1.942,6.603,10.099,93.8,71.9,61.5,78.1,62.5,80.2,87.5,87.5
Rodrigo Javier De Paul,Argentina,Right Center Midfield,MID,634.0,0.081,0.993,0.993,79.858,84.4,1.844,5.248,5.248,73.4,66.7,75.0,94.8,56.2,76.0,75.0,22.9
Rúben Diogo Da Silva Neves,Portugal,Center Defensive Midfield,MID,274.0,0.029,0.656,0.984,84.98,91.9,0.0,3.937,5.578,38.0,45.8,72.9,97.9,93.8,5.7,36.5,29.2
Saeid Ezatolahi Afagh,Iran,Left Defensive Midfield,MID,240.0,0.023,1.124,0.749,34.846,76.3,0.0,3.372,7.119,30.7,69.8,58.3,18.8,17.7,5.7,25.0,52.1
Salem Mohammed Al Dawsari,Saudi Arabia,Left Midfield,MID,298.0,0.472,2.111,1.809,35.276,78.6,2.111,5.126,3.92,96.9,94.8,91.7,21.9,27.1,83.3,67.7,6.2
Salis Abdul Samed,Ghana,Left Defensive Midfield,MID,265.0,0.009,0.34,0.34,48.245,91.5,1.699,5.096,10.872,19.8,20.8,27.1,54.2,90.6,71.9,65.6,94.8
Saša Lukić,Serbia,Right Defensive Midfield,MID,262.0,0.014,0.344,0.0,55.734,88.3,0.344,5.161,7.225,22.9,21.9,8.3,68.8,77.1,16.7,68.8,56.2
Selim Amallah,Morocco,Left Center Midfield,MID,424.0,0.024,0.425,0.637,18.692,79.5,2.124,3.186,10.408,32.8,30.2,49.0,2.1,33.9,84.4,19.8,90.6
Sergej Milinković-Savić,Serbia,Left Attacking Midfield,MID,242.0,0.074,1.113,0.0,44.536,75.0,1.113,7.052,8.907,66.7,68.8,8.3,47.9,16.7,57.3,95.8,79.2
Sergio Busquets i Burgos,Spain,Center Defensive Midfield,MID,382.0,0.024,0.471,0.707,68.36,91.4,0.471,2.829,6.129,32.8,35.4,52.1,87.5,89.1,27.1,12.5,34.4
Sofyan Amrabat,Morocco,Center Defensive Midfield,MID,737.0,0.003,0.122,0.244,39.465,84.8,0.122,5.376,7.453,7.8,7.3,19.8,32.3,62.5,11.5,78.1,60.4
Steven Berghuis,Netherlands,Center Attacking Midfield,MID,219.0,0.079,2.057,0.823,52.651,76.6,2.057,3.702,2.879,70.3,93.8,65.6,64.6,20.8,82.3,30.2,3.1
Tajon Buchanan,Canada,Right Midfield,MID,270.0,0.238,1.666,1.0,29.322,69.3,7.664,4.998,4.665,92.7,86.5,76.0,11.5,8.3,99.0,63.5,10.4
Teun Koopmeiners,Netherlands,Right Defensive Midfield,MID,249.0,0.033,0.723,0.362,43.408,79.2,0.362,4.341,7.958,42.7,49.0,31.2,41.7,31.2,18.8,47.9,65.6
Thomas Teye Partey,Ghana,Right Defensive Midfield,MID,301.0,0.07,0.598,0.598,54.084,84.5,1.494,4.183,9.263,65.6,37.5,44.8,67.7,57.8,67.7,43.8,83.3
Tyler Adams,United States,Center Defensive Midfield,MID,391.0,0.005,0.23,0.46,61.871,91.4,0.46,6.67,8.97,10.4,8.3,37.5,79.2,89.1,25.0,89.6,80.2
Wataru Endo,Japan,Right Defensive Midfield,MID,330.0,0.05,1.639,1.093,51.077,81.8,0.819,6.829,10.379,55.7,84.4,79.2,63.5,46.4,40.6,93.8,88.5
Weston McKennie,United States,Left Center Midfield,MID,274.0,0.124,1.645,0.987,48.044,80.1,0.658,5.265,6.252,81.8,85.4,74.0,53.1,36.5,35.4,76.0,38.5
William Silva de Carvalho,Portugal,Left Center Midfield,MID,236.0,0.019,0.381,0.0,62.87,92.7,0.381,1.905,6.859,28.1,27.1,8.3,81.2,96.4,19.8,4.2,47.9
Woo-Young Jung,South Korea,Right Defensive Midfield,MID,318.0,0.003,0.283,0.566,58.868,86.1,0.0,4.811,7.642,7.8,13.5,43.8,76.0,68.8,5.7,59.4,63.5
Yeltsin Ignacio Tejeda Valverde,Costa Rica,Left Defensive Midfield,MID,287.0,0.164,0.628,0.0,30.775,80.6,0.0,3.14,9.421,88.5,42.2,8.3,12.5,38.0,5.7,16.7,85.4
Youssouf Fofana,France,Left Defensive Midfield,MID,259.0,0.058,1.392,0.348,38.964,84.8,0.696,4.523,6.61,61.5,79.2,29.2,30.2,62.5,37.5,55.2,43.8
Yunus Dimoara Musah,United States,Right Center Midfield,MID,365.0,0.049,0.987,0.74,44.889,84.6,1.727,4.44,7.153,53.6,65.6,57.3,49.0,59.9,74.0,53.1,53.1
Ángel Fabián Di María Hernández,Argentina,Right Midfield,MID,312.0,0.154,2.022,2.889,47.384,76.8,8.379,3.178,2.6,87.5,92.7,100.0,52.1,21.9,100.0,18.8,1.0
İlkay Gündoğan,Germany,Left Defensive Midfield,MID,190.0,0.535,2.842,0.474,77.211,90.8,1.895,8.526,6.158,97.9,97.9,39.6,93.8,86.5,78.1,100.0,37.5
