event_id,match_id,team_name,player_name,minute,shot_type,is_goal,statsbomb_xg,predicted_xg,distance,angle
160eb8c3-7fbc-41db-809f-0b9071f10c68,3857288,Tunisia,Youssef Msakni,37,Open Play,0,0.031703874,0.03811873231183458,22.690967365892536,0.2691263836615537
aae18f45-f89b-49c9-a2a0-142b802d5c59,3857288,Tunisia,Mohamed Dräger,40,Open Play,0,0.21984866,0.14800238960707088,13.682105101189652,0.4673789349674647
49130d77-3496-41b2-b5c0-855d3f197d7d,3857288,Australia,Mitchell Thomas Duke,43,Open Play,0,0.040856346,0.05501253690386316,15.111915828246259,0.5171763636731258
1146ccdf-7a18-4edb-af66-dc85645a90c2,3857288,Australia,Fran Karačić,43,Open Play,0,0.035070673,0.04178124009179787,20.173497465734588,0.2714150978449094
39ed37fb-f84e-4837-a487-eca044e01163,3857288,Australia,Fran Karačić,45,Open Play,0,0.0052714557,0.005200363297222195,34.9954282728473,0.21377900929939783
c1a70365-5ed5-497e-b133-f287066126a1,3857288,Tunisia,Youssef Msakni,47,Open Play,0,0.23484555,0.2920032235279831,10.547511554864494,0.6472699351700864
8aa0fcc9-cdaa-47ab-b593-ec0343ad1843,3857288,Australia,Mitchell Thomas Duke,56,Open Play,0,0.06400663,0.1437648758474974,12.701574705523724,0.6101207438578838
bafebc5f-4ae9-4de7-8d7a-35d51be103ab,3857288,Tunisia,Ferjani Sassi,60,Open Play,0,0.020219443,0.02121153299418503,31.47586376892618,0.23211284782423403
14545118-82f0-4b64-b0a1-c0e1e51154f0,3857288,Tunisia,Youssef Msakni,65,Open Play,0,0.058604978,0.06315252734180911,19.961963831246667,0.36373539565469015
ad2caade-93ae-4fc8-bc21-a1142c2107d7,3857288,Tunisia,Youssef Msakni,71,Open Play,0,0.026706748,0.03294793784161318,19.147062437878038,0.2651343157915512
d730c8b5-b5cc-4c4e-abc5-01e19adf9c13,3857288,Tunisia,Youssef Msakni,71,Open Play,0,0.048467197,0.0385345668388226,24.498979570586208,0.3224693138991129
0eda6921-f9f9-4022-a826-2580bc49d877,3857288,Australia,Aaron Mooy,73,Open Play,0,0.039191317,0.05640582353728914,24.742069436488134,0.3164222050069777
14f00f94-3634-430d-8ed2-e689083efd28,3857288,Tunisia,Youssef Msakni,74,Open Play,0,0.10262261,0.11056828592092446,10.100000000000005,0.7442012204338674
61cf7eac-d6b7-4e16-a12b-bb40a6b3d717,3857288,Tunisia,Montassar Omar Talbi,83,Open Play,0,0.012159805,0.01563113817664973,30.82482765564149,0.25468468112816267
55360232-7d1d-45da-a838-f0804c83a6c3,3857288,Tunisia,Taha Yassine Khenissi,85,Open Play,0,0.012915949,0.03510911092932093,26.071440313108898,0.25469657142795843
48b1fc83-3650-48c6-9961-d637e88cb905,3857288,Tunisia,Naïm Sliti,86,Open Play,0,0.1403044,0.20311081578801382,12.601587201618694,0.519146114246523
d7978250-dde0-4c0e-8d55-da044c7b4620,3857288,Tunisia,Wahbi Khazri,87,Open Play,0,0.09264534,0.16055486904921298,13.797463535012508,0.4339268850317673
432729bb-2800-41e7-a98a-89662baf21c1,3857288,Tunisia,Wahbi Khazri,91,Open Play,0,0.021421792,0.020579329621364235,19.68171740473884,0.24487095093426067
d61a5bc5-cdf0-47a7-ad8b-1453b3315a82,3857267,Senegal,Idrissa Gana Gueye,2,Open Play,0,0.21271749,0.27895111263987526,14.286357128393504,0.5083164207011519
26b97ae4-3213-4621-9403-327bd8d869db,3857267,Senegal,Boulaye Dia,7,Open Play,0,0.16839646,0.16785278625676922,16.00312469488381,0.34246976303509635
48487024-2b14-4521-a46b-508418babbad,3857267,Ecuador,Enner Remberto Valencia Lastra,9,Free Kick,0,0.021615954,0.021259893054839503,33.11223338888514,0.24035205435685167
9f9cc1fe-f26f-416d-a2bc-c965c1b2aed0,3857267,Ecuador,Enner Remberto Valencia Lastra,9,Open Play,0,0.02803523,0.01985643646883306,24.20950226667206,0.3261118319836741
e3788f0f-b869-4e30-b752-70b1062457ba,3857267,Senegal,Ismaïla Sarr,10,Open Play,0,0.042373266,0.018887927291872393,20.800961516237653,0.37994350985949865
9c6d9302-1de8-4a97-ac5c-52153023503d,3857267,Senegal,Iliman Ndiaye,11,Open Play,0,0.02889044,0.017041736576235398,24.052026941611384,0.28106811027640927
c319aceb-f6cd-40e3-8431-557a2619a822,3857267,Senegal,Ismaïla Sarr,23,Open Play,0,0.023828069,0.06090602359485649,21.51882896442091,0.2772003101918248
04b3da1e-5e65-4060-8945-664a3fe004ee,3857267,Senegal,Pape Gueye,24,Open Play,0,0.025696881,0.005717515368483814,27.252339349127443,0.28892107615114554
d68c0771-3315-4ef2-8c10-82157b6eeb7e,3857267,Senegal,Abdou Diallo,24,Open Play,0,0.035411544,0.06492507509220763,12.248265183282074,0.6255231794801311
5f66b1e6-4264-46d4-bf52-ec9e834b12c6,3857267,Senegal,Pathé Ismaël Ciss,36,Open Play,0,0.03057826,0.05422148021225711,13.511846653955192,0.5192236942669262
e800e0bb-7fe2-4b0b-a284-d79772a9e828,3857267,Senegal,Ismaïla Sarr,43,Penalty,1,0.7835,0.79,12.0,0.6435011087932847
8c2f9c1f-2c84-4d2d-9794-9b87829ede8a,3857267,Senegal,Iliman Ndiaye,46,Open Play,0,0.04522632,0.1180074397313122,14.358969322343443,0.4906557301778236
f357068e-101e-47d5-9cab-b46abeab6fd2,3857267,Ecuador,José Adoni Cifuentes Charcopa,48,Open Play,0,0.025271386,0.024400345408249893,28.532963393240458,0.2568148474581254
5783c86d-02e9-4d3c-89e8-0b1ea00d2aca,3857267,Ecuador,Michael Steveen Estrada Martínez,56,Open Play,0,0.042533338,0.08526714119124583,13.354025610279468,0.5802004211660253
d7dc9e6e-e833-4bca-abe0-16efd35baa2d,3857267,Ecuador,Felix Eduardo Torres Caicedo,66,Open Play,0,0.15397952,0.12122853287369706,6.854195795277516,1.0196507347254806
fe08733c-664e-444f-9053-4753f4d98076,3857267,Ecuador,Moisés Isaac Caicedo Corozo,66,Open Play,1,0.5894187,0.3594964268636313,5.215361924162116,1.107148717794091
7f414cf8-690c-4ce8-bdb4-7de35ddbd88b,3857267,Senegal,Kalidou Koulibaly,69,Open Play,1,0.23427999,0.27734627640931414,8.275868534480235,0.7152717291103943
4791bb90-e837-4f48-90e2-efede0479473,3857267,Ecuador,Gonzalo Jordy Plata Jiménez,75,Open Play,0,0.058988493,0.08093367467350772,13.29812016790343,0.5739851008210333
2bf8682f-e1ab-414c-8bc1-6980dc46c81c,3857267,Senegal,Boulaye Dia,81,Open Play,0,0.04455093,0.045680976645215365,23.724459951703857,0.2670332808631572
5bfc0320-add5-41f5-8498-58bdb69b0879,3857267,Senegal,Pape Gueye,87,Open Play,0,0.03201506,0.049516684010088324,22.842942017174586,0.2685591972290509
2e8b83d3-8d70-4882-b24e-efe516fa2d28,3857267,Ecuador,Jeremy Leonel Sarmiento Morante,88,Open Play,0,0.02928531,0.046911100043011834,16.688319268278637,0.4211894802665298
965bcc85-5bae-4710-8ca7-9203417c49df,3857267,Ecuador,Jackson Gabriel Porozo Vernaza,93,Open Play,0,0.052534856,0.05288856686128105,15.208550226763887,0.48260006894148993
5628fb42-180e-4756-8655-b0bffc7ba8f0,3857287,Uruguay,Matías Vecino Falero,12,Open Play,0,0.052239094,0.05120368113799623,15.498709623707386,0.35846270422501136
9a92c82b-99ac-46b4-be65-45a79d4650ed,3857287,Uruguay,Federico Santiago Valverde Dipetta,18,Open Play,0,0.05187739,0.11223218028627402,16.744252745345186,0.4533520212135828
ded873ac-89f3-4ae4-9b4f-96f0ce726233,3857287,South Korea,Ui-Jo Hwang,33,Open Play,0,0.323128,0.22029746330155398,11.423659658795858,0.659651002205749
57bb672a-cc1c-485e-9daf-ec52fd44a58a,3857287,South Korea,In-Beom Hwang,38,Open Play,0,0.007071261,0.011895155824765054,35.04069063246328,0.19741936313949077
5d9a7dee-a394-45bd-a788-6791bcb46e98,3857287,Uruguay,Diego Roberto Godín Leal,42,Open Play,0,0.054689027,0.08731963010293495,10.007996802557443,0.760062455166498
5a203b40-fbdc-43d6-aaaf-39d78a9a2626,3857287,Uruguay,José María Giménez de Vargas,45,Open Play,0,0.046385217,0.02990595758731837,17.00176461429813,0.4502879366987984
b1309c1c-2272-43ac-a0a6-c9f358d70c18,3857287,South Korea,Min Jae Kim,52,Open Play,0,0.046898182,0.11200691922427632,10.462313319720453,0.6289998409843298
f9af0c77-987d-4a7e-9e86-a8474d6cc36a,3857287,Uruguay,Rodrigo Bentancur Colmán,54,Open Play,0,0.052523207,0.05142007372167396,18.777113729218346,0.41824638260572783
9d6785c3-3d7a-4124-83c6-700dcd524042,3857287,Uruguay,Federico Santiago Valverde Dipetta,68,Open Play,0,0.014167523,0.007224396094264966,32.078185734233784,0.22888645247319686
637d7f05-74eb-4c8d-8217-53a8f5495e80,3857287,Uruguay,Edinson Roberto Cavani Gómez,68,Open Play,0,0.03804607,0.07122131920982132,15.356106277308715,0.45375436534602404
108530c5-bc45-44f6-a676-961004913a8c,3857287,South Korea,Kang-In Lee,74,Open Play,0,0.023162797,0.0143551222772749,29.187154708878357,0.23937205137357118
70853b88-685a-4922-98d8-b3ba00afab40,3857287,South Korea,Gue-Sung Cho,76,Open Play,0,0.036145955,0.0675071288734304,26.675082005497185,0.29689787852240385
35c7d57e-4ece-4607-acd1-6fc535aca1e8,3857287,Uruguay,Darwin Gabriel Núñez Ribeiro,80,Open Play,0,0.028178101,0.03193603032257357,22.655021518418387,0.30253557842124174
52fadd3f-9f6a-4697-a1e2-4c86fb7c27c4,3857287,Uruguay,Edinson Roberto Cavani Gómez,86,Open Play,0,0.06689449,0.10036754089289053,9.504735661763561,0.7964393536579035
b43973c6-dec2-486a-97e0-d932042e7295,3857287,Uruguay,Federico Santiago Valverde Dipetta,88,Open Play,0,0.012294213,0.005896958080008952,29.887288267756908,0.2180774478230437
c2770548-8c9d-474a-8cd7-6114ce4f76e1,3857287,South Korea,Heung-Min Son,89,Open Play,0,0.0335565,0.03567995035475926,26.419689627245816,0.2981691842670232
0ada1c14-4a75-4b1b-98b2-bd91c1f22dbd,3857287,South Korea,In-Beom Hwang,93,Open Play,0,0.023029828,0.0214439015820811,28.40598528479517,0.2486345736014382
dd62c1c2-00a9-4b33-a516-6094ca80e218,3869486,Portugal,João Félix Sequeira,3,Open Play,0,0.0989785,0.09551541044121757,13.852075656738238,0.5407204532793882
9f344f5d-4d72-4cf2-8eac-ed7c83a87f65,3869486,Morocco,Youssef En-Nesyri,5,Open Play,0,0.117904566,0.18190141654193495,7.324616030891992,0.9981617747499323
acc5950a-c4d0-4ca7-8f0d-61a7de6ac0e8,3869486,Portugal,Raphaël Adelino José Guerreiro,12,Open Play,0,0.019215545,0.014767915821468486,21.824756585125986,0.24522400168916456
