event_id,match_id,period,minute,second,team_id,team_name,player_id,player_name,position_name,location_x,location_y,statsbomb_xg,outcome,is_goal,shot_type,is_penalty,is_free_kick,is_corner,is_open_play,body_part,is_header,technique,first_time,under_pressure,distance,angle,n_defenders_in_cone,gk_distance,n_opponents,n_teammates
f6e7d4d9-0029-4c12-adb3-0a4805479609,3869220,5,121,51,788,Morocco,5237,Hakim Ziyech,Right Wing,108.0,40.0,0.7835,Goal,1,Penalty,1,0,0,0,Left Foot,0,Normal,0,0,12.0,0.6435011087932847,0.0,,0.0,0.0
243c4452-6d54-401b-a681-4449fd9da7c6,3869220,5,122,44,772,Spain,6583,Carlos Soler Barragán,Right Center Midfield,108.0,40.0,0.7835,Saved,0,Penalty,1,0,0,0,Right Foot,0,Normal,0,0,12.0,0.6435011087932847,0.0,,0.0,0.0
1ca8275a-6f22-45e8-802a-445717e96337,3869220,5,123,36,788,Morocco,67700,Badr Banoun,Left Center Back,108.0,40.0,0.7835,Saved,0,Penalty,1,0,0,0,Right Foot,0,Normal,0,0,12.0,0.6435011087932847,0.0,,0.0,0.0
2dbf7685-1e38-42ea-9033-edf9f79d57f1,3869220,5,124,31,772,Spain,5203,Sergio Busquets i Burgos,Center Defensive Midfield,108.0,40.0,0.7835,Saved,0,Penalty,1,0,0,0,Right Foot,0,Normal,0,0,12.0,0.6435011087932847,0.0,,0.0,0.0
08590ee6-ef11-4025-8648-2a8496c30c1f,3869220,5,125,36,788,Morocco,5245,Achraf Hakimi Mouh,Right Wing Back,108.0,40.0,0.7835,Goal,1,Penalty,1,0,0,0,Right Foot,0,Normal,0,0,12.0,0.6435011087932847,0.0,,0.0,0.0
3e282518-80cc-4cba-a8bf-f978a3bdc68b,3869219,1,2,9,778,Japan,37215,Shogo Taniguchi,Left Center Back,112.6,38.8,0.11361285,Off T,0,Open Play,0,0,0,1,Head,1,Normal,0,1,7.496665925596531,0.974266798130235,1.0,6.2513998432351165,11.0,7.0
d2902ca7-330f-40ca-bdcc-80ebce314510,3869219,1,7,31,785,Croatia,5474,Ivan Perišić,Left Wing,116.7,29.0,0.05943511,Saved,0,Open Play,0,0,0,1,Right Foot,0,Normal,0,0,11.484337159801605,0.2239800356404233,1.0,7.178439941937242,7.0,2.0
05b85723-782e-406a-8111-015340f46439,3869219,1,7,34,785,Croatia,5460,Andrej Kramarić,Right Wing,114.5,38.3,0.17775308,Blocked,0,Open Play,0,0,0,1,Left Foot,0,Half Volley,0,1,5.756735185849703,1.1993348501013081,3.0,5.021951811795893,7.0,3.0
84a3ecd6-bec2-4e73-96a2-682de9882869,3869219,1,23,47,785,Croatia,33018,Joško Gvardiol,Left Center Back,101.1,43.6,0.061746918,Off T,0,Open Play,0,0,0,1,Left Foot,0,Normal,1,0,19.239802493788762,0.40349039126210295,3.0,17.84656829757475,10.0,6.0
edc46c5b-cc9d-4a0d-b880-d880335d6f27,3869219,1,40,7,778,Japan,9411,Daichi Kamada,Left Wing,114.1,28.8,0.08994952,Wayward,0,Open Play,0,0,0,1,Right Foot,0,Normal,0,0,12.658988901172165,0.3162292020240298,1.0,5.793962374748395,9.0,6.0
a17c568a-4df5-4c2f-81e2-4cc89d924ae8,3869219,1,42,54,778,Japan,30628,Daizen Maeda,Center Forward,113.5,44.3,0.45874894,Goal,1,Open Play,0,0,0,1,Left Foot,0,Half Volley,1,1,7.7935871073594845,0.8603042671921424,1.0,7.77946013551069,9.0,5.0
97734f34-6e02-4e86-b03d-c9d858dd8c92,3869219,2,45,27,778,Japan,9411,Daichi Kamada,Left Wing,94.7,38.3,0.03904812,Off T,0,Open Play,0,0,0,1,Right Foot,0,Normal,0,0,25.357050301641944,0.3122564700470221,1.0,24.020824298928627,8.0,4.0
f37a0c66-833e-4fe3-ac62-b3841656a294,3869219,2,48,13,785,Croatia,5456,Mateo Kovačić,Left Center Midfield,100.1,47.1,0.02993381,Off T,0,Open Play,0,0,0,1,Right Foot,0,Volley,1,0,21.12865353021816,0.3542667017056054,4.0,19.674348782107135,11.0,6.0
5552d4ee-1ebc-4ec4-9f36-6a0524b2cb44,3869219,2,49,22,778,Japan,37221,Hidemasa Morita,Left Defensive Midfield,98.2,36.8,0.041140273,Wayward,0,Open Play,0,0,0,1,Right Foot,0,Half Volley,1,0,22.033610689126736,0.35567652818543694,2.0,19.022355269524326,9.0,5.0
5ce4d362-ebd6-4ea8-8544-e47d5f5f2454,3869219,2,54,54,785,Croatia,5474,Ivan Perišić,Left Wing,106.0,34.1,0.02684295,Goal,1,Open Play,0,0,0,1,Head,1,Normal,0,0,15.192432326655268,0.48061359662811637,1.0,14.300000000000002,11.0,7.0
74935b33-b8d3-4ab4-919d-9a9ed80a3bcd,3869219,2,56,56,778,Japan,23721,Wataru Endo,Right Defensive Midfield,94.4,52.9,0.019910807,Saved,0,Open Play,0,0,0,1,Right Foot,0,Normal,0,0,28.666531007430944,0.24889651651875586,3.0,27.12065633424087,10.0,5.0
ddddef93-1105-425d-99f4-011605e72ad4,3869219,2,59,48,778,Japan,23721,Wataru Endo,Right Defensive Midfield,90.0,41.9,0.020528734,Blocked,0,Open Play,0,0,0,1,Right Foot,0,Normal,0,1,30.060106453570654,0.26407438838848557,2.0,28.65047992617226,11.0,7.0
cda7fa73-f09c-46df-8e56-f4b6baa17185,3869219,2,59,49,778,Japan,37221,Hidemasa Morita,Left Defensive Midfield,97.8,36.3,0.052081473,Blocked,0,Open Play,0,0,0,1,Right Foot,0,Normal,1,0,22.506221362103418,0.3473757082100105,1.0,20.81730049742282,10.0,6.0
bb569056-5824-4a84-9bf7-098df409c1fb,3869219,2,59,52,778,Japan,8361,Ritsu Doan,Right Wing,100.4,43.7,0.056113943,Saved,0,Open Play,0,0,0,1,Left Foot,0,Normal,0,0,19.94617757867406,0.38963854333177594,2.0,18.66815470259447,9.0,6.0
45501bff-d6b1-4cb6-a6b3-458e422a236a,3869219,2,62,13,785,Croatia,5463,Luka Modrić,Right Center Midfield,96.3,48.9,0.031055314,Saved,0,Open Play,0,0,0,1,Right Foot,0,Half Volley,0,0,25.316002844051035,0.2945809592672525,2.0,23.88828164602888,10.0,5.0
31749268-4467-46db-b470-7e9125d6d734,3869219,2,65,32,785,Croatia,5474,Ivan Perišić,Right Wing,95.5,48.2,0.018378427,Blocked,0,Open Play,0,0,0,1,Left Foot,0,Normal,0,0,25.83582783655287,0.29223534955856206,2.0,23.49829781069259,10.0,6.0
c0055f4a-4e53-4244-a1b0-af09963873fd,3869219,2,65,52,785,Croatia,5460,Andrej Kramarić,Left Wing,98.9,23.8,0.018472007,Blocked,0,Open Play,0,0,0,1,Right Foot,0,Normal,0,0,26.601691675530706,0.23937471552184075,3.0,23.799369739554024,10.0,7.0
605589a6-a83f-4533-b88f-a8e775efa581,3869219,2,65,53,785,Croatia,8654,Ante Budimir,Center Forward,109.5,45.1,0.10111922,Off T,0,Open Play,0,0,0,1,Head,1,Normal,0,0,11.673045875006233,0.6097095456618274,1.0,10.610372283760833,10.0,6.0
3e14ff6c-b675-4433-b70b-f1362675d101,3869219,2,73,43,785,Croatia,11603,Mario Pašalić,Right Wing,107.5,44.5,0.035465226,Off T,0,Open Play,0,0,0,1,Head,1,Normal,0,0,13.285330255586423,0.5571979709693877,1.0,12.08139064843117,11.0,5.0
a99de16f-d5a2-4386-82e7-51dca208bd8c,3869219,2,76,37,785,Croatia,5474,Ivan Perišić,Left Wing,98.1,30.4,0.030077945,Blocked,0,Open Play,0,0,0,1,Left Foot,0,Normal,0,0,23.911712611187017,0.3053776152920199,2.0,19.647391684394147,8.0,2.0
78a794a1-c48c-4699-904a-5ca28cb9cc15,3869219,2,85,42,785,Croatia,11603,Mario Pašalić,Right Wing,110.5,42.8,0.052599985,Off T,0,Open Play,0,0,0,1,Head,1,Normal,0,1,9.904039579888602,0.7468948411399068,2.0,9.51892851112981,8.0,3.0
0ac4b920-e24a-478f-902c-d3793cf26db0,3869219,3,91,35,778,Japan,37215,Shogo Taniguchi,Left Center Back,114.6,49.3,0.0608747,Off T,0,Open Play,0,0,0,1,Head,1,Normal,0,0,10.754068997360953,0.4090627105356748,1.0,9.305912099305472,11.0,6.0
23c0f102-912d-4b11-93b7-08f61a961924,3869219,3,100,24,785,Croatia,5474,Ivan Perišić,Left Wing,107.2,34.1,0.07439702,Blocked,0,Open Play,0,0,0,1,Right Foot,0,Half Volley,1,0,14.094325099131208,0.5109716672961047,4.0,13.505924625881779,11.0,5.0
9373957f-01f1-44d3-a2af-6a412ae43caf,3869219,3,100,26,785,Croatia,11127,Borna Barišić,Left Back,95.1,31.3,0.015196718,Blocked,0,Open Play,0,0,0,1,Left Foot,0,Volley,1,0,26.376125568399925,0.2850873677265074,5.0,25.424791051255472,11.0,6.0
e1912d47-5dce-4b37-8d31-b6e9482be999,3869219,3,104,5,778,Japan,37211,Kaoru Mitoma,Left Wing Back,99.8,34.6,0.054134306,Saved,0,Open Play,0,0,0,1,Right Foot,0,Normal,0,0,20.909328061896204,0.3663462829217677,2.0,19.331063085097,8.0,3.0
142a9ff0-352e-46d8-9bef-e8c1372b8f37,3869219,3,104,9,778,Japan,23721,Wataru Endo,Right Defensive Midfield,95.7,37.1,0.02615668,Blocked,0,Open Play,0,0,0,1,Right Foot,0,Volley,1,0,24.4724334711528,0.32190494686106297,2.0,23.015212360523627,9.0,4.0
f68691b4-7768-4512-9505-335fcb58785c,3869219,3,104,20,778,Japan,8776,Takumi Minamino,Left Wing,102.6,40.3,0.03667642,Blocked,0,Open Play,0,0,0,1,Right Foot,0,Volley,1,0,17.402586014727817,0.4517951692336071,2.0,16.701197561851668,11.0,6.0
8aafb6ab-26fa-4ccb-87b7-a9c4e9aae35b,3869219,4,113,42,785,Croatia,22041,Marko Livaja,Center Forward,112.8,47.7,0.047236525,Saved,0,Open Play,0,0,0,1,Head,1,Normal,0,1,10.541821474489126,0.544444461186175,1.0,8.772684879784528,11.0,6.0
69de8840-7050-44c6-a13a-aac71b5f6cef,3869219,4,120,10,785,Croatia,16527,Mislav Oršić,Left Wing,106.8,19.7,0.009676031,Blocked,0,Open Play,0,0,0,1,Right Foot,0,Normal,0,0,24.214252001662164,0.1830825631943762,2.0,20.448227307030795,10.0,5.0
5e58555c-4442-4907-8029-0dbd3d58d2a3,3869219,4,120,18,785,Croatia,28914,Lovro Majer,Right Center Midfield,99.8,33.0,0.06501122,Off T,0,Open Play,0,0,0,1,Right Foot,0,Normal,1,0,21.378493866500513,0.3512155951375686,2.0,18.75153327064217,9.0,5.0
7e8a4838-4396-44cb-af8e-51df3abdd7b8,3869219,5,120,4,778,Japan,8776,Takumi Minamino,Left Wing,108.1,40.1,0.7835,Saved,0,Penalty,1,0,0,0,Right Foot,0,Normal,0,0,11.900420160649796,0.6485005595772457,0.0,,0.0,0.0
a082197d-6235-4da0-92fc-a1aa9379bc0d,3869219,5,120,43,785,Croatia,3441,Nikola Vlašić,Left Center Midfield,108.1,40.1,0.7835,Goal,1,Penalty,1,0,0,0,Right Foot,0,Normal,0,0,11.900420160649796,0.6485005595772457,0.0,,0.0,0.0
bccd6f5b-3d78-448c-bde8-793467426a12,3869219,5,121,13,778,Japan,37211,Kaoru Mitoma,Left Wing Back,108.1,40.1,0.7835,Saved,0,Penalty,1,0,0,0,Right Foot,0,Normal,0,0,11.900420160649796,0.6485005595772457,0.0,,0.0,0.0
54be1e85-59c1-43cd-8da4-26db10dcd2b7,3869219,5,121,52,785,Croatia,5469,Marcelo Brozović,Center Defensive Midfield,108.1,40.1,0.7835,Goal,1,Penalty,1,0,0,0,Right Foot,0,Normal,0,0,11.900420160649796,0.6485005595772457,0.0,,0.0,0.0
2e48e56e-491c-4194-865d-be0b40fafb69,3869219,5,122,33,778,Japan,8949,Takuma Asano,Center Forward,108.1,40.1,0.7835,Goal,1,Penalty,1,0,0,0,Right Foot,0,Normal,0,0,11.900420160649796,0.6485005595772457,0.0,,0.0,0.0
f33dea9d-c828-4298-9983-d63a2db7557b,3869219,5,123,13,785,Croatia,22041,Marko Livaja,Center Forward,108.1,40.1,0.7835,Post,0,Penalty,1,0,0,0,Right Foot,0,Normal,0,0,11.900420160649796,0.6485005595772457,1.0,11.501738998951419,1.0,0.0
2cdf3402-4fcf-45ef-9d91-8474453e45ad,3869219,5,123,50,778,Japan,3300,Maya Yoshida,Center Back,108.1,40.1,0.7835,Saved,0,Penalty,1,0,0,0,Right Foot,0,Normal,0,0,11.900420160649796,0.6485005595772457,0.0,,0.0,0.0
d38acc97-e85e-43e6-9798-dac321842497,3869219,5,124,28,785,Croatia,11603,Mario Pašalić,Right Wing,108.1,40.1,0.7835,Goal,1,Penalty,1,0,0,0,Right Foot,0,Normal,0,0,11.900420160649796,0.6485005595772457,0.0,,0.0,0.0
d1ec79ed-46cc-4c51-8fac-aeb33943dc28,3869253,1,6,39,781,Brazil,4320,Neymar da Silva Santos Junior,Center Attacking Midfield,111.3,44.4,0.083826184,Wayward,0,Open Play,0,0,0,1,Right Foot,0,Normal,1,0,9.749358953285084,0.7219114475319262,3.0,8.188406438373717,9.0,5.0
44854e05-f6c8-4c2a-a7ef-9dc2ae4c7f09,3869253,1,6,41,781,Brazil,18395,Vinícius José Paixão de Oliveira Júnior,Left Wing,110.0,29.9,0.13057186,Goal,1,Open Play,0,0,0,1,Right Foot,0,Normal,0,0,14.213022197970425,0.4061692892053857,4.0,6.519202405202646,9.0,4.0
ba9547df-81eb-4cc8-acc3-63ebec6f2c39,3869253,1,12,18,781,Brazil,4320,Neymar da Silva Santos Junior,Center Attacking Midfield,108.0,40.0,0.7835,Goal,1,Penalty,1,0,0,0,Right Foot,0,Normal,0,0,12.0,0.6435011087932847,0.0,,0.0,0.0
a19eb2c7-c412-4481-bf03-a3080127d8d1,3869253,1,16,15,791,South Korea,5620,Hee-Chan Hwang,Left Midfield,90.4,28.0,0.016991004,Saved,0,Open Play,0,0,0,1,Right Foot,0,Normal,0,0,31.939943644283403,0.23158794986012393,2.0,29.95279619668253,11.0,6.0
ad60d052-a0ce-4bfe-8290-d557e0cb3a11,3869253,1,16,40,791,South Korea,23763,In-Beom Hwang,Left Defensive Midfield,91.7,46.4,0.026666574,Off T,0,Open Play,0,0,0,1,Left Foot,0,Normal,0,0,29.01465147128257,0.2675681680401139,4.0,26.379727064547122,10.0,8.0
7f42485f-775b-45fb-932e-39c8eb885b90,3869253,1,24,57,791,South Korea,5620,Hee-Chan Hwang,Left Midfield,82.7,33.0,0.0058221314,Saved,0,Open Play,0,0,0,1,Right Foot,0,Normal,0,0,37.95115281516492,0.20652082795826196,2.0,35.41892149684968,9.0,7.0
35028f1d-c785-47f4-88d5-a82cc91ceb62,3869253,1,28,13,781,Brazil,3280,Richarlison de Andrade,Center Forward,110.7,43.3,0.5379008,Goal,1,Open Play,0,0,0,1,Left Foot,0,Normal,0,0,9.868130522039113,0.7406213339431867,1.0,6.552098900352463,9.0,6.0
bc4fd99a-0a91-4d45-b46d-10786f668f0a,3869253,1,30,19,781,Brazil,10595,Raphael Dias Belloli,Right Wing,94.7,30.7,0.02589997,Off T,0,Open Play,0,0,0,1,Left Foot,0,Normal,0,0,26.95514793133215,0.27748907850197463,3.0,24.884533349050372,10.0,7.0
95582d85-7eed-4aeb-bbe6-2b1a429b6295,3869253,1,31,37,791,South Korea,5620,Hee-Chan Hwang,Left Midfield,119.3,30.8,0.017834108,Saved,0,Open Play,0,0,0,1,Right Foot,0,Normal,0,0,9.226592003551474,0.08083030157048665,0.0,3.6013886210738195,8.0,5.0
d2740e3a-0982-4c1f-81ec-54f12ed1bcd4,3869253,1,33,37,781,Brazil,5539,Carlos Henrique Casimiro,Left Defensive Midfield,93.6,43.2,0.029429397,Off T,0,Open Play,0,0,0,1,Right Foot,0,Normal,1,0,26.593232221751464,0.29654580906970074,3.0,24.466303357883884,10.0,7.0
75e1dbd2-f601-4261-992d-106488c7219b,3869253,1,35,45,781,Brazil,22600,Lucas Tolentino Coelho de Lima,Right Defensive Midfield,110.0,44.8,0.08633457,Goal,1,Open Play,0,0,0,1,Right Foot,0,Volley,1,1,11.092339699089637,0.641824865152524,1.0,10.018482919085107,7.0,4.0
afbe9884-329f-4721-a822-ccba6d081310,3869253,1,45,14,781,Brazil,22600,Lucas Tolentino Coelho de Lima,Right Defensive Midfield,112.0,49.2,0.2577265,Saved,0,Open Play,0,0,0,1,Left Foot,0,Normal,1,0,12.191800523302538,0.44955719075216943,1.0,7.77946013551069,9.0,5.0
08678f16-67ff-4ff5-905e-d9cc75db1d2d,3869253,1,48,8,781,Brazil,3280,Richarlison de Andrade,Center Forward,110.3,51.6,0.2681848,Saved,0,Open Play,0,0,0,1,Right Foot,0,Normal,0,0,15.121177202850316,0.3499032708436195,1.0,6.363961030678928,6.0,2.0
b2459e0f-b8bd-4069-a41c-daf9dc5b3f8f,3869253,1,48,9,781,Brazil,4320,Neymar da Silva Santos Junior,Center Attacking Midfield,111.4,42.3,0.26870713,Off T,0,Open Play,0,0,0,1,Other,0,Normal,0,1,8.902246907382422,0.8274029757269062,1.0,6.530696746902282,6.0,2.0
40ede36e-9124-4cb3-9065-f0a66eb450dd,3869253,2,45,23,781,Brazil,10595,Raphael Dias Belloli,Right Wing,104.3,51.7,0.04634087,Saved,0,Open Play,0,0,0,1,Left Foot,0,Normal,0,0,19.580091930325562,0.32942303811214674,2.0,15.520631430454111,7.0,3.0
34f546bf-8be7-4a35-9e42-bfd908c2f766,3869253,2,46,16,791,South Korea,3083,Heung-Min Son,Left Midfield,105.3,27.9,0.1490943,Saved,0,Open Play,0,0,0,1,Right Foot,0,Normal,0,0,19.039432764659775,0.32719514669492905,1.0,10.435037134576955,5.0,3.0
