player_id,player_name,team_name,minutes,goals,assists,key_passes,shots,xg,xg_per_90
18722,Mathias Jensen,Denmark,92.0,0,0,4,2,0.05,0.05
20033,Luuk de Jong,Netherlands,64.0,0,0,1,1,0.05,0.07
28268,Exequiel Alejandro Palacios,Argentina,68.0,0,0,1,1,0.05,0.07
34639,Vitor Machado Ferreira,Portugal,132.0,0,0,1,2,0.05,0.03
37211,Kaoru Mitoma,Japan,190.0,0,1,2,1,0.05,0.02
51969,Jackson Gabriel Porozo Vernaza,Ecuador,108.0,0,0,0,1,0.05,0.04
3281,Aaron Mooy,Australia,387.0,0,0,1,1,0.04,0.01
3308,Kieran Trippier,England,227.0,0,0,3,1,0.04,0.02
4353,Aymeric Laporte,Spain,320.0,0,0,1,1,0.04,0.01
5206,Rúben Santos Gato Alves Dias,Portugal,392.0,0,0,0,1,0.04,0.01
5538,Denis Lemi Zakaria Lako Lado,Switzerland,73.0,0,0,0,1,0.04,0.05
6687,Saša Lukić,Serbia,262.0,0,0,0,1,0.04,0.01
7161,Germán Alejandro Pezzella,Argentina,43.0,0,0,0,1,0.04,0.08
7979,Przemysław Frankowski,Poland,255.0,0,0,1,1,0.04,0.01
8553,Abdou Diallo,Senegal,349.0,0,0,1,1,0.04,0.01
12770,Jonathan Osorio,Canada,131.0,0,0,0,1,0.04,0.03
16028,José Diogo Dalot Teixeira,Portugal,270.0,0,1,3,1,0.04,0.01
16252,Mark Anthony Kaye,Canada,60.0,0,0,0,1,0.04,0.06
16554,Joakim Mæhle,Denmark,264.0,0,0,1,2,0.04,0.01
23874,Ali Gholizadeh,Iran,211.0,0,1,1,1,0.04,0.02
28729,Diego Nicolás De La Cruz Arcosa,Uruguay,55.0,0,0,0,1,0.04,0.07
29163,Josip Juranović,Croatia,631.0,0,1,6,1,0.04,0.01
33488,Keanu Baccus,Australia,134.0,0,0,0,1,0.04,0.03
49337,Josip Stanišić,Croatia,96.0,0,0,0,1,0.04,0.04
51094,Abdulelah Al Amri,Saudi Arabia,211.0,0,0,0,1,0.04,0.02
51705,Abdulrahman Al-Obood,Saudi Arabia,49.0,0,0,1,1,0.04,0.07
124506,Pedro Miguel Correia,Qatar,273.0,0,0,0,2,0.04,0.01
